bus,d,t,V_V,P_gen_kW,P_dem_kW,Q_dem_kVar,n_cap
B22,0,18,14995.126975926934,0.0,14.63761763,7.582284993,-0.0
B22,0,19,14995.216507140058,0.0,14.63239885,8.45465751,-0.0
B22,0,20,14995.72109832661,0.0,12.22809413,7.675262097,-0.0
B22,0,21,14995.79583042542,0.0,12.22809413,8.520393721,-0.0
B22,0,22,14995.920490508064,0.0,12.22809413,9.333137334,-0.0
B22,0,23,14996.548972475599,0.0,12.22809413,9.208331452,-0.0
B22,0,24,14996.92296055098,0.0,12.22809413,9.248499899,-0.0
B23,0,1,14996.883971150632,0.0,19.02147976,11.42608321,-0.0
B23,0,2,14996.922995219373,0.0,19.02147976,13.32339576,-0.0
B23,0,3,14996.904164731159,0.0,19.02147976,13.35819115,-0.0
B23,0,4,14996.967306135595,0.0,19.02147976,13.2477296,-0.0
B23,0,5,14996.810693642481,0.0,19.02147976,13.4565647,-0.0
B23,0,6,14996.397057783399,0.0,19.02147976,13.16788183,-0.0
B23,0,7,14994.76730046152,0.0,30.87809857,20.3388541,-0.0
B23,0,8,14994.467563704093,0.0,31.08163068,19.4284188,-0.0
B23,0,9,14993.025851309265,0.0,42.25229161,23.309825510000003,-0.0
B23,0,10,14992.973634288574,0.0,43.20553767,20.35755163,-0.0
B23,0,11,14992.864439080635,0.0,42.73606597,18.8372158,-0.0
B23,0,12,14992.567541441753,0.0,43.75380993000001,18.24475754,-0.0
B23,0,13,14994.337613001571,0.0,29.57354692,12.60299393,-0.0
B23,0,14,14994.474125525225,0.0,28.41248088,12.44373285,-0.0
B23,0,15,14994.585266229435,0.0,28.29365256,12.35657772,-0.0
B23,0,16,14994.497991052123,0.0,28.45518611,12.60273847,-0.0
B23,0,17,14993.969552884222,0.0,29.1426029,14.32918403,-0.0
B23,0,18,14994.428571842234,0.0,22.76962742,11.79466555,-0.0
B23,0,19,14994.526439656162,0.0,22.761509319999995,13.15168946,-0.0
B23,0,20,14995.102995805195,0.0,19.02147976,11.93929659,-0.0
B23,0,21,14995.18934488867,0.0,19.02147976,13.25394579,-0.0
B23,0,22,14995.333061837844,0.0,19.02147976,14.518213630000002,-0.0
B23,0,23,14996.055323994697,0.0,19.02147976,14.324071149999998,-0.0
B23,0,24,14996.48522676149,0.0,19.02147976,14.3865554,-0.0
B25,0,1,14996.932642694614,0.0,19.02147976,11.42608321,-0.0
B25,0,2,14996.973514798494,0.0,19.02147976,13.32339576,-0.0
B25,0,3,14996.954718268289,0.0,19.02147976,13.35819115,-0.0
B25,0,4,14997.017751862932,0.0,19.02147976,13.2477296,-0.0
B25,0,5,14996.86134330715,0.0,19.02147976,13.4565647,-0.0
B25,0,6,14996.447427647194,0.0,19.02147976,13.16788183,-0.0
B25,0,7,14994.848064110965,0.0,30.87809857,20.3388541,-0.0
B25,0,8,14994.547843744793,0.0,31.08163068,19.4284188,-0.0
B25,0,9,14993.131970705994,0.0,42.25229161,23.309825510000003,-0.0
B25,0,10,14993.078759299508,0.0,43.20553767,20.35755163,-0.0
B25,0,11,14992.967156889861,0.0,42.73606597,18.8372158,-0.0
B25,0,12,14992.671692994098,0.0,43.75380993000001,18.24475754,-0.0
B25,0,13,14994.408267500645,0.0,29.57354692,12.60299393,-0.0
B25,0,14,14994.542332523239,0.0,28.41248088,12.44373285,-0.0
B25,0,15,14994.653153270749,0.0,28.29365256,12.35657772,-0.0
B25,0,16,14994.566437143458,0.0,28.45518611,12.60273847,-0.0
B25,0,17,14994.041040289403,0.0,29.1426029,14.32918403,-0.0
B25,0,18,14994.485008727477,0.0,22.76962742,11.79466555,-0.0
B25,0,19,14994.584182231085,0.0,22.761509319999995,13.15168946,-0.0
B25,0,20,14995.152173111706,0.0,19.02147976,11.93929659,-0.0
